Timestamp,Session ID,Building,Floor,Localization Time (s),Localization Success,Navigation Time (s),Navigation Success
2024-11-19 21:47:30,anbang,N/A,N/A,83.72,Failed,,
2024-11-19 21:49:53,anbang,N/A,N/A,109.35,Failed,,
2024-11-19 22:08:50,anbang,LightHouse,6_floor,1129.83,Success,,
2024-11-19 23:22:32,anbang,N/A,N/A,116.79,Failed,,
2024-11-19 23:23:17,anbang,N/A,N/A,22.82,Failed,,
2024-11-22 13:20:19,anbang,LightHouse,6_floor,132.93,Success,,
2024-11-22 13:21:49,anbang,LightHouse,6_floor,62.49,Success,,
2024-11-22 13:26:15,anbang,LightHouse,6_floor,15.41,Success,,
2024-11-22 13:26:39,anbang,LightHouse,6_floor,14.53,Failed,,
2024-11-22 13:26:50,anbang,LightHouse,6_floor,5.74,Failed,,
2024-11-22 13:27:01,anbang,LightHouse,6_floor,7.14,Success,,
2024-11-22 13:27:48,anbang,LightHouse,6_floor,38.52,Success,,
2024-11-22 13:28:02,anbang,LightHouse,6_floor,6.58,Failed,,
2024-11-22 13:28:11,anbang,LightHouse,6_floor,4.15,Failed,,
2024-11-22 13:28:31,anbang,LightHouse,6_floor,16.87,Success,,
2024-11-22 13:28:51,anbang,LightHouse,6_floor,13.15,Success,,
2024-11-22 13:29:47,anbang,LightHouse,6_floor,10.93,Success,,
2024-11-22 13:30:21,anbang,LightHouse,6_floor,0.53,Success,51.69,Success
2024-11-22 13:31:03,anbang,LightHouse,6_floor,0.55,Success,0.34,Success
2024-11-22 13:31:22,anbang,LightHouse,6_floor,0.56,Success,0.29,Success
2024-11-22 13:35:17,anbang,LightHouse,6_floor,0.5,Failed,,
2024-11-22 13:35:23,anbang,LightHouse,6_floor,0.49,Failed,,
2024-11-22 13:35:25,anbang,LightHouse,6_floor,0.49,Failed,,
2024-11-22 13:35:27,anbang,LightHouse,6_floor,0.5,Success,0.28,Success
2024-11-22 13:36:51,anbang,LightHouse,6_floor,0.51,Failed,,
2024-11-22 13:36:56,anbang,LightHouse,6_floor,0.5,Success,0.28,Success
2024-11-22 13:39:52,anbang,LightHouse,6_floor,0.58,Success,0.29,Success
2024-11-22 14:29:33,anbang,LightHouse,6_floor,97.38,Success,0.1,Success
2024-11-22 14:50:50,anbang,LightHouse,6_floor,0.52,Success,0.28,Success
2025-01-21 13:30:06,anbang,N/A,N/A,80.8,Failed,,
2025-01-21 13:32:07,anbang,N/A,N/A,31.57,Failed,,
2025-01-21 13:40:55,anbang,Langone,17_floor@dog,512.06,Success,,
2025-01-21 13:42:57,anbang,Langone,17_floor@dog,31.49,Success,19.14,Success
2025-01-21 13:43:47,anbang,Langone,17_floor@dog,10.97,Success,1107.06,Success
2025-01-21 14:03:03,anbang,Langone,17_floor@dog,37.45,Success,14.8,Success
2025-01-21 14:06:44,anbang,Langone,17_floor@dog,178.0,Success,1.57,Success
2025-01-22 23:42:44,anbang,Langone,16_floor@dog,96.79,Success,30.6,Success
2025-01-22 23:45:32,anbang,Langone,16_floor@dog,0.52,Success,113.2,Success
2025-01-22 23:47:32,anbang,Langone,16_floor@dog,0.49,Success,163.79,Success
2025-01-22 23:50:20,anbang,Langone,16_floor@dog,0.41,Success,189.2,Success
2025-01-22 23:53:40,anbang,Langone,16_floor@dog,0.41,Success,91.4,Success
2025-01-22 23:55:17,anbang,Langone,16_floor@dog,0.41,Success,,
2025-01-23 00:02:03,anbang,Langone,16_floor@dog,20.73,Success,237.6,Success
2025-01-23 00:06:06,anbang,Langone,16_floor@dog,0.4,Success,84.78,Success
2025-01-23 00:13:03,anbang,Langone,16_floor@dog,20.44,Success,,
2025-01-23 00:15:07,anbang,Langone,16_floor@dog,20.64,Success,87.91,Success
2025-01-23 00:18:20,anbang,Langone,16_floor@dog,0.4,Success,14.63,Success
2025-01-23 00:18:45,anbang,Langone,16_floor@dog,0.4,Success,41.71,Success
2025-01-23 00:19:41,anbang,Langone,16_floor@dog,0.39,Success,,
2025-01-23 00:21:34,anbang,Langone,16_floor@dog,0.47,Success,16.27,Success
2025-01-23 00:22:00,anbang,Langone,16_floor@dog,0.43,Success,210.93,Success
2025-01-23 00:25:42,anbang,Langone,16_floor@dog,0.38,Success,19.5,Success
2025-01-23 00:26:18,anbang,Langone,16_floor@dog,0.39,Success,7.66,Success
2025-01-23 00:26:43,anbang,Langone,16_floor@dog,0.41,Failed,,
2025-01-23 00:26:50,anbang,Langone,16_floor@dog,0.4,Success,14.69,Success
2025-01-23 00:27:24,anbang,Langone,16_floor@dog,0.38,Success,13.31,Success
2025-01-23 00:27:53,anbang,Langone,16_floor@dog,0.59,Success,,
2025-01-23 00:33:27,anbang,Langone,16_floor@dog,20.98,Success,96.13,Success
2025-01-23 00:35:11,anbang,Langone,16_floor@dog,0.41,Success,,
2025-01-23 00:55:30,anbang,Langone,16_floor@dog,20.56,Success,67.49,Success
2025-01-23 00:57:45,anbang,Langone,16_floor@dog,0.36,Success,2.24,Success
2025-01-23 01:00:16,anbang,Langone,16_floor@dog,0.46,Success,2.25,Success
2025-01-23 01:02:17,anbang,Langone,16_floor@dog,0.37,Success,2.2,Success
2025-01-23 01:04:17,anbang,Langone,16_floor@dog,0.36,Success,2.22,Success
2025-01-23 01:11:57,anbang,Langone,16_floor@dog,20.67,Success,5.2,Success
2025-01-23 01:13:15,anbang,Langone,16_floor@dog,0.37,Failed,,
2025-01-23 01:13:18,anbang,Langone,16_floor@dog,0.39,Success,1.42,Success
2025-01-23 01:13:37,anbang,Langone,16_floor@dog,0.37,Success,1.44,Success
2025-01-23 01:14:04,anbang,Langone,16_floor@dog,0.35,Failed,,
2025-01-23 01:14:08,anbang,Langone,16_floor@dog,0.39,Success,1.43,Success
2025-01-23 01:24:57,anbang,Langone,15_floor@dog,57.27,Success,5.44,Success
2025-01-23 10:48:55,anbang,Langone,15_floor@dog,24.77,Success,,
2025-01-23 11:26:54,anbang,N/A,N/A,30.67,Failed,,
2025-01-23 11:27:07,anbang,Langone,15_floor@dog,1.56,Success,,
2025-01-23 11:27:24,anbang,Langone,15_floor@dog,0.41,Failed,,
2025-01-23 11:27:28,anbang,Langone,15_floor@dog,0.4,Failed,,
2025-01-23 11:27:31,anbang,Langone,15_floor@dog,0.45,Failed,,
2025-01-23 11:28:00,anbang,Langone,15_floor@dog,0.46,Success,,
2025-01-23 11:28:22,anbang,Langone,15_floor@dog,0.41,Success,,
2025-01-23 11:30:45,anbang,Langone,15_floor@dog,34.7,Success,52.45,Success
2025-01-23 11:38:01,anbang,Langone,15_floor@dog,0.35,Success,,
2025-01-23 11:58:04,anbang,Langone,15_floor@dog,22.8,Success,29.18,Success
2025-01-23 11:58:53,anbang,Langone,15_floor@dog,0.35,Success,131.04,Success
2025-01-23 12:02:45,anbang,Langone,15_floor@dog,23.07,Success,42.9,Success
2025-01-23 12:04:53,anbang,Langone,15_floor@dog,0.39,Success,46.91,Success
2025-01-23 12:08:16,anbang,Langone,15_floor@dog,0.35,Success,52.2,Success
2025-01-23 12:10:51,anbang,Langone,15_floor@dog,0.35,Success,53.81,Success
2025-01-23 12:23:15,anbang,Langone,15_floor@dog,22.7,Success,17.68,Success
2025-01-23 12:28:59,anbang,Langone,15_floor@dog,0.37,Success,12.9,Success
2025-01-23 12:29:48,anbang,Langone,15_floor@dog,0.37,Success,1.54,Failed
2025-01-23 12:30:38,anbang,Langone,15_floor@dog,0.36,Success,1.63,Failed
2025-01-23 12:37:04,anbang,Langone,15_floor@dog,0.36,Success,1.61,Failed
2025-01-23 12:37:37,anbang,Langone,15_floor@dog,0.35,Success,13.38,Success
